,non_null,mean_len,max_len,pct_numeric_only,pct_uppercase
ID,7728394.0,8.857495231221389,9.0,0.0,0.0
Source,7728394.0,7.0,7.0,0.0,0.0
County,7728394.0,8.06435386187609,30.0,0.0,0.0
State,7728394.0,2.0,2.0,0.0,1.0
Country,7728394.0,2.0,2.0,0.0,1.0
